address,coordinates
"1825 Old Us Highway 52, Lexington, NC 27295","{'latitude': 35.850613, 'longitude': -80.25481}"
"238 Broad St, Lexington, NC 27295","{'latitude': 35.840282, 'longitude': -80.2553}"
"154 Clearview St, Lexington, NC 27295","{'latitude': 35.84032, 'longitude': -80.22421}"
"1607 White Street Ext, Lexington, NC 27295","{'latitude': 35.852566, 'longitude': -80.250534}"
"1607 White St, Lexington, NC 27295","{'latitude': 35.846107, 'longitude': -80.25054}"
"84 W 7th St, Lexington, NC 27295","{'latitude': 35.83578, 'longitude': -80.25799}"
"1 Hillside Dr, Lexington, NC 27295","{'latitude': 35.8354, 'longitude': -80.266045}"
"217 Bunting Dr #43, Lexington, NC 27295","{'latitude': 35.862255, 'longitude': -80.262634}"
"101 Dallas St, Lexington, NC 27295","{'latitude': 35.844856, 'longitude': -80.25161}"
"200 Bunting Dr #56, Lexington, NC 27295","{'latitude': 35.860825, 'longitude': -80.26313}"
"109 Short St, Lexington, NC 27295","{'latitude': 35.83524, 'longitude': -80.2599}"
"505 Dolcetto Ave #78, Lexington, NC 27295","{'latitude': 35.846954, 'longitude': -80.274315}"
"1488 Hill Everhart Rd #12, Lexington, NC 27295","{'latitude': 35.864094, 'longitude': -80.235344}"
"1488 Hill Everhart Rd, Lexington, NC 27295","{'latitude': 35.84931, 'longitude': -80.2729}"
"213 James St, Lexington, NC 27295","{'latitude': 35.84808, 'longitude': -80.26346}"
"235 Bunting Dr #44, Lexington, NC 27295","{'latitude': 35.860065, 'longitude': -80.26256}"
"211 Hillside Dr, Lexington, NC 27295","{'latitude': 35.8414, 'longitude': -80.265854}"
"9 Hawthorne Ln, Lexington, NC 27295","{'latitude': 35.83863, 'longitude': -80.26509}"
"201 Woodhaven Dr, Lexington, NC 27295","{'latitude': 35.840458, 'longitude': -80.26326}"
"113 Choyce St, Lexington, NC 27295","{'latitude': 35.847168, 'longitude': -80.261635}"
"632 Towhee Trl #28, Lexington, NC 27295","{'latitude': 35.85976, 'longitude': -80.26145}"
"529 Dolcetto Ave, Lexington, NC 27295","{'latitude': 35.84798, 'longitude': -80.27459}"
"529 Dolcetto Ave #76, Lexington, NC 27295","{'latitude': 35.8482, 'longitude': -80.27469}"
"27 Forest Hill Rd, Lexington, NC 27295","{'latitude': 35.838173, 'longitude': -80.27633}"
"1372 Hill Everhart Rd #6, Lexington, NC 27295","{'latitude': 35.85805, 'longitude': -80.22855}"
"1372 Hill Everhart Rd, Lexington, NC 27295","{'latitude': 35.8576, 'longitude': -80.22817}"
"121 Willowbrook Cres, Lexington, NC 27295","{'latitude': 35.84494, 'longitude': -80.26277}"
"298 Winston Rd, Lexington, NC 27295","{'latitude': 35.83828, 'longitude': -80.25393}"
"1503 Hampton St, Lexington, NC 27295","{'latitude': 35.84823, 'longitude': -80.256546}"
"1005 White St, Lexington, NC 27295","{'latitude': 35.840984, 'longitude': -80.25127}"
"1022 Pine Ridge Rd, Lexington, NC 27295","{'latitude': 35.86818, 'longitude': -80.27857}"
"711 1st Rainbow St, Lexington, NC 27295","{'latitude': 35.844048, 'longitude': -80.25493}"
"133 Dolcetto Ave, Lexington, NC 27295","{'latitude': 35.84572, 'longitude': -80.27512}"
"133 Dolcetto Ave #118, Lexington, NC 27295","{'latitude': 35.846066, 'longitude': -80.276184}"
"Upton St, Lexington, NC","{'latitude': 35.840504, 'longitude': -80.246025}"
"146 Dolcetto Ave, Lexington, NC 27295","{'latitude': 35.84598, 'longitude': -80.27439}"
"146 Dolcetto Ave #4, Lexington, NC 27295","{'latitude': 35.846073, 'longitude': -80.27619}"
"0 Upton St, Lexington, NC 27295","{'latitude': 35.842125, 'longitude': -80.24558}"
"519 Dolcetto Ave, Lexington, NC 27295","{'latitude': 35.84868, 'longitude': -80.27336}"
"519 Dolcetto Ave #77, Lexington, NC 27295","{'latitude': 35.84659, 'longitude': -80.275154}"
"397 Douglas Dr, Lexington, NC 27295","{'latitude': 35.842216, 'longitude': -80.267365}"
"460 Dolcetto Ave, Lexington, NC 27295","{'latitude': 35.849285, 'longitude': -80.27205}"
"460 Dolcetto Ave #69, Lexington, NC 27295","{'latitude': 35.84658, 'longitude': -80.27515}"
"Meadow Dr, Lexington, NC 27295","{'latitude': 35.851177, 'longitude': -80.25199}"
"133 Breaking Dawn Rd #79, Lexington, NC 27295","{'latitude': 35.85528, 'longitude': -80.25668}"
"400 Dolcetto Ave #64, Lexington, NC 27295","{'latitude': 35.846508, 'longitude': -80.27521}"
"281 Sparrow Ln, Lexington, NC 27295","{'latitude': 35.866135, 'longitude': -80.26306}"
"199 Bunting Dr #42, Lexington, NC 27295","{'latitude': 35.85984, 'longitude': -80.26274}"
"146 Bunting Dr, Lexington, NC 27295","{'latitude': 35.84926, 'longitude': -80.27212}"
"146 Bunting Dr #59, Lexington, NC 27295","{'latitude': 35.861626, 'longitude': -80.26317}"
"273 Broad St, Lexington, NC 27295","{'latitude': 35.838245, 'longitude': -80.25453}"
"2020 Old Us Highway 52, Lexington, NC 27295","{'latitude': 35.852837, 'longitude': -80.25105}"
"524 Towhee Trl #34, Lexington, NC 27295","{'latitude': 35.865532, 'longitude': -80.25989}"
"11 Longview St, Lexington, NC 27295","{'latitude': 35.84458, 'longitude': -80.25222}"
"650 Towhee Trl #27, Lexington, NC 27295","{'latitude': 35.859512, 'longitude': -80.26129}"
"530 Dolcetto Ave #75, Lexington, NC 27295","{'latitude': 35.848026, 'longitude': -80.27447}"
"499 Leonard Rd, Lexington, NC 27295","{'latitude': 35.859188, 'longitude': -80.25373}"
"751 2nd Rainbow St, Lexington, NC 27295","{'latitude': 35.844242, 'longitude': -80.25617}"
"1579 Greensboro Street Ext, Lexington, NC 27295","{'latitude': 35.843864, 'longitude': -80.21959}"
"1452 Hill Everhart Rd #10, Lexington, NC 27295","{'latitude': 35.86381, 'longitude': -80.234924}"
"1452 Hill Everhart Rd, Lexington, NC 27295","{'latitude': 35.85899, 'longitude': -80.22865}"
"1352 City Lake Rd, Lexington, NC 27295","{'latitude': 35.86638, 'longitude': -80.22806}"
"813 Leonard Rd, Lexington, NC 27295","{'latitude': 35.863476, 'longitude': -80.25221}"
"670 E Park Ave, Lexington, NC 27292","{'latitude': 35.838165, 'longitude': -80.217514}"
"116 Huntington Trl, Lexington, NC 27295","{'latitude': 35.865578, 'longitude': -80.25681}"
"120 Monroe Dr, Lexington, NC 27295","{'latitude': 35.839912, 'longitude': -80.239555}"
"522 Dolcetto Ave #74, Lexington, NC 27295","{'latitude': 35.84659, 'longitude': -80.27526}"
"1702 Hill Everhart Rd, Lexington, NC 27295","{'latitude': 35.861294, 'longitude': -80.23204}"
"219 Woodhaven Dr, Lexington, NC 27295","{'latitude': 35.84271, 'longitude': -80.26414}"
"469 Dolcetto Ave #80, Lexington, NC 27295","{'latitude': 35.84796, 'longitude': -80.2749}"
"1486 Hill Everhart Rd #11, Lexington, NC 27295","{'latitude': 35.86401, 'longitude': -80.23513}"
"614 Towhee Trl #29, Lexington, NC 27295","{'latitude': 35.860653, 'longitude': -80.26151}"
"1486 Hill Everhart Rd, Lexington, NC 27295","{'latitude': 35.85938, 'longitude': -80.22894}"
"107 Delta St, Lexington, NC 27295","{'latitude': 35.85479, 'longitude': -80.26694}"
"1144 Pine Ridge Rd, Lexington, NC 27295","{'latitude': 35.86984, 'longitude': -80.27844}"
"95 W 7th Street Ext, Lexington, NC 27295","{'latitude': 35.83616, 'longitude': -80.26066}"
"487 Dolcetto Ave, Lexington, NC 27295","{'latitude': 35.84933, 'longitude': -80.27264}"
"487 Dolcetto Ave #79, Lexington, NC 27295","{'latitude': 35.847946, 'longitude': -80.27473}"
"409 Swing Dairy Rd, Lexington, NC 27295","{'latitude': 35.83839, 'longitude': -80.2615}"
"E 9th Street Ext, Lexington, NC 27295","{'latitude': 35.837738, 'longitude': -80.24945}"
"28 Hames St, Lexington, NC 27295","{'latitude': 35.837044, 'longitude': -80.256134}"
"0 E 9th Street Ext, Lexington, NC 27295","{'latitude': 35.83833, 'longitude': -80.24498}"
"1516 Hampton St, Lexington, NC 27295","{'latitude': 35.849895, 'longitude': -80.25645}"
"105 Saintsbury Pl, Lexington, NC 27295","{'latitude': 35.84128, 'longitude': -80.27855}"
"164 Bunting Dr, Lexington, NC 27295","{'latitude': 35.86079, 'longitude': -80.26272}"
"211 James St #215, Lexington, NC 27295","{'latitude': 35.849712, 'longitude': -80.26285}"
"164 Bunting Dr #58, Lexington, NC 27295","{'latitude': 35.86153, 'longitude': -80.26302}"
"215 James St, Lexington, NC 27295","{'latitude': 35.850693, 'longitude': -80.26253}"
"498 Dolcetto Ave #72, Lexington, NC 27295","{'latitude': 35.84659, 'longitude': -80.27514}"
"510 Dolcetto Ave #73, Lexington, NC 27295","{'latitude': 35.847275, 'longitude': -80.27359}"
"280 Allen Dr, Lexington, NC 27295","{'latitude': 35.861732, 'longitude': -80.25394}"
"498 Dolcetto Ave, Lexington, NC 27295","{'latitude': 35.86513, 'longitude': -80.26008}"
"Mize Rd, Lexington, NC 27295","{'latitude': 35.849964, 'longitude': -80.2637}"
"103 Northside Dr, Lexington, NC 27295","{'latitude': 35.85353, 'longitude': -80.26402}"
"182 Bunting Dr, Lexington, NC 27295","{'latitude': 35.86512, 'longitude': -80.26076}"
"201 James St, Lexington, NC 27295","{'latitude': 35.84807, 'longitude': -80.26349}"
"182 Bunting Dr #57, Lexington, NC 27295","{'latitude': 35.861294, 'longitude': -80.26302}"
"330 Webb Rd, Lexington, NC 27295","{'latitude': 35.852043, 'longitude': -80.27264}"
"213 Primrose Ln, Lexington, NC 27295","{'latitude': 35.855984, 'longitude': -80.26301}"
"218 Bunting Dr, Lexington, NC 27295","{'latitude': 35.860443, 'longitude': -80.2632}"
"254 Bunting Dr #53, Lexington, NC 27295","{'latitude': 35.86644, 'longitude': -80.26259}"
"120 Robert Everhart Rd, Lexington, NC 27292","{'latitude': 35.840466, 'longitude': -80.21803}"
"0 Olivia Dr, Lexington, NC 27295","{'latitude': 35.848698, 'longitude': -80.22002}"
"236 Bunting Dr, Lexington, NC 27295","{'latitude': 35.86533, 'longitude': -80.26019}"
"236 Bunting Dr #54, Lexington, NC 27295","{'latitude': 35.860233, 'longitude': -80.26319}"
"88 W 7th Street Ext, Lexington, NC 27295","{'latitude': 35.835915, 'longitude': -80.25889}"
"88 W 7th St, Lexington, NC 27295","{'latitude': 35.83595, 'longitude': -80.25892}"
"486 Dolcetto Ave #71, Lexington, NC 27295","{'latitude': 35.846558, 'longitude': -80.27517}"
"1450 Hill Everhart Rd, Lexington, NC 27295","{'latitude': 35.85898, 'longitude': -80.22868}"
"1450 Hill Everhart Rd #9, Lexington, NC 27295","{'latitude': 35.85734, 'longitude': -80.22837}"
"448 Dolcetto Ave #68, Lexington, NC 27295","{'latitude': 35.84652, 'longitude': -80.275116}"
"15 Woodcrest Dr, Lexington, NC 27295","{'latitude': 35.84077, 'longitude': -80.26521}"
"1412 Hill Everhart Rd, Lexington, NC 27295","{'latitude': 35.85842, 'longitude': -80.22838}"
"1412 Hill Everhart Rd #7, Lexington, NC 27295","{'latitude': 35.85757, 'longitude': -80.22859}"
"477 Towhee Trl, Lexington, NC 27295","{'latitude': 35.86545, 'longitude': -80.26029}"
"477 Towhee Trl #13, Lexington, NC 27295","{'latitude': 35.867565, 'longitude': -80.26022}"
"557 Towhee Trl #17, Lexington, NC 27295","{'latitude': 35.8676, 'longitude': -80.26016}"
"557 Towhee Trl, Lexington, NC 27295","{'latitude': 35.86531, 'longitude': -80.26044}"
"4 Westdale Ave, Lexington, NC 27295","{'latitude': 35.83531, 'longitude': -80.267914}"
"1414 Hill Everhart Rd, Lexington, NC 27295","{'latitude': 35.85842, 'longitude': -80.22832}"
"1414 Hill Everhart Rd #8, Lexington, NC 27295","{'latitude': 35.857853, 'longitude': -80.22837}"
"111 Stover Way, Lexington, NC 27295","{'latitude': 35.839523, 'longitude': -80.276245}"
"488 Towhee Trl #36, Lexington, NC 27295","{'latitude': 35.86765, 'longitude': -80.26017}"
"272 Bunting Dr, Lexington, NC 27295","{'latitude': 35.8595, 'longitude': -80.26318}"
"288 Bunting Dr #51, Lexington, NC 27295","{'latitude': 35.859234, 'longitude': -80.26318}"
"1298 Hill Everhart Rd #1, Lexington, NC 27295","{'latitude': 35.8572, 'longitude': -80.22835}"
"1370 Hill Everhart Rd #5, Lexington, NC 27295","{'latitude': 35.857525, 'longitude': -80.2285}"
"506 Towhee Trl #35, Lexington, NC 27295","{'latitude': 35.86582, 'longitude': -80.260025}"
"1370 Hill Everhart Rd, Lexington, NC 27295","{'latitude': 35.85828, 'longitude': -80.22879}"
"218 Choyce St, Lexington, NC 27295","{'latitude': 35.851, 'longitude': -80.26076}"
"145 Breaking Dawn Rd #80, Lexington, NC 27295","{'latitude': 35.85587, 'longitude': -80.25555}"
"521 Towhee Trl, Lexington, NC 27295","{'latitude': 35.86152, 'longitude': -80.260506}"
"521 Towhee Trl #15, Lexington, NC 27295","{'latitude': 35.86132, 'longitude': -80.26084}"
"389 Dolcetto Ave #85, Lexington, NC 27295","{'latitude': 35.848156, 'longitude': -80.2738}"
"375 Dolcetto Ave #86, Lexington, NC 27295","{'latitude': 35.84654, 'longitude': -80.27514}"
"279 Jackson Ave, Lexington, NC 27295","{'latitude': 35.861504, 'longitude': -80.255844}"
"161 Emma Ct #93, Lexington, NC 27295","{'latitude': 35.846558, 'longitude': -80.275154}"
"161 Emma Ct, Lexington, NC 27295","{'latitude': 35.84715, 'longitude': -80.27575}"
"1334 Hill Everhart Rd #4, Lexington, NC 27295","{'latitude': 35.85687, 'longitude': -80.22776}"
"1332 Hill Everhart Rd #3, Lexington, NC 27295","{'latitude': 35.856785, 'longitude': -80.22782}"
"457 Dolcetto Ave #81, Lexington, NC 27295","{'latitude': 35.84654, 'longitude': -80.27507}"
"224 Flynt St, Lexington, NC 27295","{'latitude': 35.839565, 'longitude': -80.24645}"
"104 Emma Ct #87, Lexington, NC 27295","{'latitude': 35.846546, 'longitude': -80.275215}"
"104 Emma Ct, Lexington, NC 27295","{'latitude': 35.84725, 'longitude': -80.2755}"
"419 Dolcetto Ave #83, Lexington, NC 27295","{'latitude': 35.84659, 'longitude': -80.27501}"
"542 Towhee Trl #33, Lexington, NC 27295","{'latitude': 35.86115, 'longitude': -80.261406}"
"1334 Hill Everhart Rd, Lexington, NC 27295","{'latitude': 35.85699, 'longitude': -80.22809}"
"560 Towhee Trl #32, Lexington, NC 27295","{'latitude': 35.86131, 'longitude': -80.2615}"
"424 Dolcetto Ave, Lexington, NC 27295","{'latitude': 35.84879, 'longitude': -80.27243}"
"405 Dolcetto Ave, Lexington, NC 27295","{'latitude': 35.849052, 'longitude': -80.273186}"
"135 Sparrow Ln, Lexington, NC 27295","{'latitude': 35.866577, 'longitude': -80.260216}"
"433 Dolcetto Ave #82, Lexington, NC 27295","{'latitude': 35.846798, 'longitude': -80.27533}"
"160 Warbler Way, Lexington, NC 27295","{'latitude': 35.86237, 'longitude': -80.26215}"
"1329 Leonard Rd, Lexington, NC 27295","{'latitude': 35.871567, 'longitude': -80.25017}"
"160 Warbler Way #65, Lexington, NC 27295","{'latitude': 35.867146, 'longitude': -80.262344}"
"1300 Hill Everhart Rd, Lexington, NC 27295","{'latitude': 35.85671, 'longitude': -80.22784}"
"308 Westdale Ave, Lexington, NC 27295","{'latitude': 35.835438, 'longitude': -80.27272}"
"414 Hillside Dr, Lexington, NC 27295","{'latitude': 35.844826, 'longitude': -80.266464}"
"130 Willowbrook Cres, Lexington, NC 27295","{'latitude': 35.844475, 'longitude': -80.264534}"
"116 Saintsbury Pl, Lexington, NC 27295","{'latitude': 35.841175, 'longitude': -80.27931}"
"181 Bunting Dr #41, Lexington, NC 27295","{'latitude': 35.86646, 'longitude': -80.26243}"
"163 Bunting Dr #40, Lexington, NC 27295","{'latitude': 35.8621, 'longitude': -80.26283}"
"51 Mill St, Lexington, NC 27295","{'latitude': 35.836426, 'longitude': -80.256935}"
"64 W 8th St #216, Lexington, NC 27295","{'latitude': 35.836025, 'longitude': -80.25697}"
"153 Emma Ct #94, Lexington, NC 27295","{'latitude': 35.847176, 'longitude': -80.275696}"
"302 Dolcetto Ave #56, Lexington, NC 27295","{'latitude': 35.846607, 'longitude': -80.2752}"
"412 Dolcetto Ave, Lexington, NC 27295","{'latitude': 35.848644, 'longitude': -80.27259}"
"Hill Everhart Rd, Lexington, NC","{'latitude': 35.84917, 'longitude': -80.227745}"
"13 Longview St, Lexington, NC 27295","{'latitude': 35.844505, 'longitude': -80.25218}"
"465 Garland Dr, Lexington, NC 27295","{'latitude': 35.8626, 'longitude': -80.2552}"
"52 Mill St, Lexington, NC 27295","{'latitude': 35.84023, 'longitude': -80.25724}"
"388 Dolcetto Ave #63, Lexington, NC 27295","{'latitude': 35.84654, 'longitude': -80.27509}"
"1451 Hill Everhart Rd, Lexington, NC 27295","{'latitude': 35.858536, 'longitude': -80.23096}"
"374 Dolcetto Ave #62, Lexington, NC 27295","{'latitude': 35.84659, 'longitude': -80.27509}"
"142 Warbler Way #66, Lexington, NC 27295","{'latitude': 35.866398, 'longitude': -80.26272}"
"116 Emma Ct #88, Lexington, NC 27295","{'latitude': 35.84905, 'longitude': -80.27411}"
"196 Warbler Way #63, Lexington, NC 27295","{'latitude': 35.86301, 'longitude': -80.26311}"
"362 Dolcetto Ave #61, Lexington, NC 27295","{'latitude': 35.84791, 'longitude': -80.27459}"
"Pleasant Hills Rd, Lexington, NC 27295","{'latitude': 35.842003, 'longitude': -80.27204}"
"109 Bunting Dr #37, Lexington, NC 27295","{'latitude': 35.867588, 'longitude': -80.26025}"
"124 Pleasant Hills Rd #38, Lexington, NC 27295","{'latitude': 35.84216, 'longitude': -80.271515}"
"129 Emma Ct, Lexington, NC 27295","{'latitude': 35.84697, 'longitude': -80.27562}"
"738 2nd Rainbow St, Lexington, NC 27295","{'latitude': 35.84479, 'longitude': -80.25485}"
"75 W 8th St, Lexington, NC 27295","{'latitude': 35.836414, 'longitude': -80.25991}"
"104 Monroe Dr, Lexington, NC 27295","{'latitude': 35.838444, 'longitude': -80.238106}"
"518 Hill Everhart Rd, Lexington, NC 27295","{'latitude': 35.84623, 'longitude': -80.226456}"
"127 Bunting Dr #38, Lexington, NC 27295","{'latitude': 35.862526, 'longitude': -80.26285}"
"203 Maxwell Dr, Lexington, NC 27295","{'latitude': 35.85264, 'longitude': -80.265335}"
"806 Olympia St, Lexington, NC 27295","{'latitude': 35.83826, 'longitude': -80.25925}"
"1475 Arnold Rd, Lexington, NC 27295","{'latitude': 35.871178, 'longitude': -80.27216}"
"575 Towhee Trl, Lexington, NC 27295","{'latitude': 35.86069, 'longitude': -80.26054}"
"160 Emma Ct, Lexington, NC 27295","{'latitude': 35.86531, 'longitude': -80.26028}"
"128 Emma Ct, Lexington, NC 27295","{'latitude': 35.8489, 'longitude': -80.274}"
"539 Towhee Trl #16, Lexington, NC 27295","{'latitude': 35.86647, 'longitude': -80.26259}"
"12 Hames St, Lexington, NC 27295","{'latitude': 35.84056, 'longitude': -80.256294}"
"308 Bremen Dr, Lexington, NC 27295","{'latitude': 35.85679, 'longitude': -80.2692}"
"180 Tesh St, Lexington, NC 27295","{'latitude': 35.85063, 'longitude': -80.2574}"
"26 Forest Hill Rd, Lexington, NC 27295","{'latitude': 35.83841, 'longitude': -80.27705}"
"162 Godfrey Ct, Lexington, NC 27295","{'latitude': 35.870266, 'longitude': -80.25946}"
"136 Tannin Way, Lexington, NC 27295","{'latitude': 35.84222, 'longitude': -80.27652}"
"140 Emma Ct #90, Lexington, NC 27295","{'latitude': 35.84654, 'longitude': -80.27519}"
"11TH Crest Cir, Lexington, NC 27295","{'latitude': 35.840385, 'longitude': -80.24754}"
"539 Towhee Trl, Lexington, NC 27295","{'latitude': 35.86124, 'longitude': -80.26051}"
"225 W 9th St, Lexington, NC 27295","{'latitude': 35.837433, 'longitude': -80.248535}"
"503 Towhee Trl #14, Lexington, NC 27295","{'latitude': 35.867046, 'longitude': -80.26003}"
"152 Emma Ct #91, Lexington, NC 27295","{'latitude': 35.84652, 'longitude': -80.2752}"
"152 Emma Ct, Lexington, NC 27295","{'latitude': 35.86517, 'longitude': -80.26025}"
"503 Towhee Trl, Lexington, NC 27295","{'latitude': 35.86542, 'longitude': -80.26088}"
"621 Park Cres, Lexington, NC 27295","{'latitude': 35.840313, 'longitude': -80.25829}"
"325 Boaze Rd, Lexington, NC 27295","{'latitude': 35.84206, 'longitude': -80.2703}"
"726 W 13th St, Lexington, NC 27295","{'latitude': 35.843273, 'longitude': -80.25473}"
"211 Bremen Dr, Lexington, NC 27295","{'latitude': 35.85383, 'longitude': -80.269035}"
"303 Dolcetto Ave, Lexington, NC 27295","{'latitude': 35.8654, 'longitude': -80.26019}"
"1069 Hill Everhart Rd, Lexington, NC 27295","{'latitude': 35.853542, 'longitude': -80.22831}"
"304 Towhee Trl #73, Lexington, NC 27295","{'latitude': 35.864414, 'longitude': -80.2607}"
"304 Towhee Trl, Lexington, NC 27295","{'latitude': 35.86535, 'longitude': -80.2605}"
"340 Towhee Trl #71, Lexington, NC 27295","{'latitude': 35.864788, 'longitude': -80.25994}"
"340 Towhee Trl, Lexington, NC 27295","{'latitude': 35.86578, 'longitude': -80.2602}"
"322 Towhee Trl #72, Lexington, NC 27295","{'latitude': 35.86701, 'longitude': -80.262474}"
"326 Dolcetto Ave #58, Lexington, NC 27295","{'latitude': 35.846554, 'longitude': -80.2752}"
"322 Towhee Trl, Lexington, NC 27295","{'latitude': 35.86588, 'longitude': -80.25997}"
"354 Towhee Trl #70, Lexington, NC 27295","{'latitude': 35.86735, 'longitude': -80.259346}"
"228 Maxwell Dr #15, Lexington, NC 27295","{'latitude': 35.853497, 'longitude': -80.26943}"
"354 Towhee Trl, Lexington, NC 27295","{'latitude': 35.86565, 'longitude': -80.26048}"
"123 Park Cres, Lexington, NC 27295","{'latitude': 35.84057, 'longitude': -80.25771}"
"803 Olympia St, Lexington, NC 27295","{'latitude': 35.838036, 'longitude': -80.25992}"
"245 Tall Oak Ct #18, Lexington, NC 27295","{'latitude': 35.85617, 'longitude': -80.26072}"
"4 & 5 Bremen Garden Dr, Lexington, NC 27295","{'latitude': 35.85487, 'longitude': -80.25874}"
"105 Emma Ct #98, Lexington, NC 27295","{'latitude': 35.84654, 'longitude': -80.27522}"
"317 Dolcetto Ave, Lexington, NC 27295","{'latitude': 35.848293, 'longitude': -80.274376}"
"460 Ovada Ave, Lexington, NC 27295","{'latitude': 35.8485, 'longitude': -80.27147}"
"211 Crane Creek Way, Lexington, NC 27295","{'latitude': 35.838963, 'longitude': -80.27791}"
"15 Conrad St, Lexington, NC 27295","{'latitude': 35.842655, 'longitude': -80.25244}"
"1668 Old Us Highway 52, Lexington, NC 27295","{'latitude': 35.848328, 'longitude': -80.25411}"
"286 Towhee Trl, Lexington, NC 27295","{'latitude': 35.86536, 'longitude': -80.26019}"
"142 High Ridge Ct, Lexington, NC 27295","{'latitude': 35.869987, 'longitude': -80.256195}"
"396 Towhee Trl #69, Lexington, NC 27295","{'latitude': 35.867386, 'longitude': -80.259926}"
"396 Towhee Trl, Lexington, NC 27295","{'latitude': 35.86542, 'longitude': -80.2601}"
"286 Towhee Trl #74, Lexington, NC 27295","{'latitude': 35.86736, 'longitude': -80.25998}"
"353 Towhee Trl #6, Lexington, NC 27295","{'latitude': 35.867386, 'longitude': -80.259544}"
"350 Dolcetto Ave #60, Lexington, NC 27295","{'latitude': 35.846554, 'longitude': -80.27509}"
"353 Towhee Trl, Lexington, NC 27295","{'latitude': 35.86561, 'longitude': -80.26038}"
"141 Emma Ct #95, Lexington, NC 27295","{'latitude': 35.84653, 'longitude': -80.27517}"
"314 Dolcetto Ave #57, Lexington, NC 27295","{'latitude': 35.846622, 'longitude': -80.275246}"
"367 Towhee Trl, Lexington, NC 27295","{'latitude': 35.86522, 'longitude': -80.26088}"
"367 Towhee Trl #7, Lexington, NC 27295","{'latitude': 35.8665, 'longitude': -80.259865}"
"427 Ovada Ave #35, Lexington, NC 27295","{'latitude': 35.847733, 'longitude': -80.2727}"
"427 Ovada Ave, Lexington, NC","{'latitude': 35.84912, 'longitude': -80.27138}"
"206 Mize Rd, Lexington, NC 27295","{'latitude': 35.848747, 'longitude': -80.2634}"
"229 Sycamore St, Lexington, NC 27295","{'latitude': 35.858303, 'longitude': -80.25587}"
"119 Saintsbury Pl, Lexington, NC 27295","{'latitude': 35.840687, 'longitude': -80.27951}"
"338 Dolcetto Ave, Lexington, NC 27295","{'latitude': 35.86538, 'longitude': -80.26012}"
"338 Dolcetto Ave #59, Lexington, NC 27295","{'latitude': 35.846554, 'longitude': -80.27507}"
"8 Clark St, Lexington, NC 27295","{'latitude': 35.83751, 'longitude': -80.2609}"
"430 E 9th St, Lexington, NC 27295","{'latitude': 35.836857, 'longitude': -80.243866}"
"108 W 7th Street Ext, Lexington, NC 27295","{'latitude': 35.835747, 'longitude': -80.26082}"
"403 Swing Dairy Rd, Lexington, NC 27295","{'latitude': 35.83793, 'longitude': -80.26158}"
"808 Olympia St, Lexington, NC 27295","{'latitude': 35.838535, 'longitude': -80.259155}"
"439 Ovada Ave #34, Lexington, NC 27295","{'latitude': 35.84855, 'longitude': -80.271645}"
"399 W 8th St, Lexington, NC 27295","{'latitude': 35.836777, 'longitude': -80.25935}"
"448 Ovada Ave, Lexington, NC","{'latitude': 35.848682, 'longitude': -80.271194}"
"415 Ovada Ave #36, Lexington, NC 27295","{'latitude': 35.848305, 'longitude': -80.272194}"
"180 Freewill Cir, Lexington, NC 27295","{'latitude': 35.847954, 'longitude': -80.250175}"
"706 Arrington Dr, Lexington, NC 27295","{'latitude': 35.84656, 'longitude': -80.24552}"
"678 Arrington Dr #9, Lexington, NC 27295","{'latitude': 35.847473, 'longitude': -80.24689}"
"415 Ovada Ave, Lexington, NC","{'latitude': 35.84524, 'longitude': -80.2762}"
"113 Sidney St, Lexington, NC 27295","{'latitude': 35.851017, 'longitude': -80.26606}"
"1515 Hampton St, Lexington, NC 27295","{'latitude': 35.849705, 'longitude': -80.25584}"
"204 Maxwell Dr, Lexington, NC 27295","{'latitude': 35.853127, 'longitude': -80.26528}"
"256 Broad St, Lexington, NC 27295","{'latitude': 35.84195, 'longitude': -80.254616}"
"215 Hames St, Lexington, NC 27295","{'latitude': 35.839706, 'longitude': -80.25568}"
"4 Clark St, Lexington, NC 27295","{'latitude': 35.83751, 'longitude': -80.26074}"
"20 Conrad St, Lexington, NC 27295","{'latitude': 35.842175, 'longitude': -80.25174}"
"905 Virginia Dr, Lexington, NC 27295","{'latitude': 35.838158, 'longitude': -80.25196}"
"1533 Hampton St, Lexington, NC 27295","{'latitude': 35.850876, 'longitude': -80.25546}"
"2250 Old Us Highway 52, Lexington, NC 27295","{'latitude': 35.85601, 'longitude': -80.25132}"
"475 Eliason Ln, Lexington, NC 27295","{'latitude': 35.87313, 'longitude': -80.22915}"
"399 Walser Rd, Lexington, NC 27295","{'latitude': 35.850693, 'longitude': -80.25979}"
"1513 Hampton St, Lexington, NC 27295","{'latitude': 35.84942, 'longitude': -80.25603}"
"208 Woodhaven Dr, Lexington, NC 27295","{'latitude': 35.84131, 'longitude': -80.26384}"
"229 Mize Rd, Lexington, NC 27295","{'latitude': 35.850914, 'longitude': -80.26385}"
"105 Maxwell Dr, Lexington, NC 27295","{'latitude': 35.851997, 'longitude': -80.26479}"
"6 Clark St, Lexington, NC 27295","{'latitude': 35.837616, 'longitude': -80.26112}"
"397 Ovada Ave #37, Lexington, NC 27295","{'latitude': 35.84849, 'longitude': -80.27205}"
"2008 Hill Everhart Rd, Lexington, NC 27295","{'latitude': 35.864765, 'longitude': -80.23591}"
