Name,Title,Total students,Reviews,Udemy link,Social links
Nina Weinstein,"Teacher Trainer, MA ESL, Author of Twenty English Textbooks","30,844","11,118",https://www.udemy.com/user/ninaweinstein/,"['https://www.facebook.com/easyenglish.us.com', 'https://linkedin.com/in/ninaweinstein', 'https://www.youtube.com/ninaweinstein']"
For Your English,English Language Teacher,"80,636","14,749",https://www.udemy.com/user/kallan-anderson/,"['https://www.foryourenglish.com/', 'https://www.facebook.com/https://www.facebook.com/AskForYourEnglish/', 'https://www.youtube.com/https://www.youtube.com/c/foryourenglish']"
Maria Guryeva,Private Coach on Applying to US Universities,"30,976","8,090",https://www.udemy.com/user/mariaguryeva/,['http://www.study-america.org/']
Attain Online Japanese Language School,"Japanese language education, online Japanese learning","93,448","24,150",https://www.udemy.com/user/online-japanese/,"['https://aoj-ls.jp/en/', 'https://twitter.com/TalkInJapan', 'https://www.facebook.com/TalkInJapan', 'https://www.youtube.com/TalkInJapan']"
Leandro Caruso,Environmental Engineer / Solar PV Operations Manager,"26,996","9,450",https://www.udemy.com/user/f1f269ce-4255-4056-9549-f02e594ddf4e/,['https://www.facebook.com/https://www.facebook.com/leandro.caruso.186']
TJ Walker,Success through Communication Skills & Habits,"1,894,744","193,719",https://www.udemy.com/user/tjwalker2/,"['http://www.tjwalker.com', 'https://twitter.com/TJWalkerHabit', 'https://www.facebook.com/tjwalkersuccess', 'https://linkedin.com/in/tjwalkersuccess/', 'https://www.youtube.com/@tjwalkersuccess']"
EDOOTV - The knowledge dispenser,Eduflix Italia S.r.l.,"19,308","7,633",https://www.udemy.com/user/edootv/,"['http://www.edootv.com', 'https://www.facebook.com/edootv', 'https://www.youtube.com/user/edootvENG']"
Alexa Fischer,"Speaker, confidence coach and entrepreneur","219,925","65,609",https://www.udemy.com/user/alexafischer/,"['http://www.alexafischer.com/', 'https://twitter.com/1000WattAlexa', 'https://www.facebook.com/alexafischer.official', 'https://linkedin.com/in/alexafischer/', 'https://www.youtube.com/user/alexafischer']"
Terry Mc Gonigle,Expert English language teacher,"170,062","23,465",https://www.udemy.com/user/terry-gonigle/,['https://www.englishwithterry.com/']
Innovative Language,"The fastest, easiest, and most fun way to learn a language!","80,671","12,134",https://www.udemy.com/user/matthenry3/,"['http://www.innovativelanguage.com', 'https://twitter.com/innolang', 'https://www.facebook.com/InnovativeLanguage', 'https://www.youtube.com/innovativelanguage']"
Linguae Learning,Top language learning courses for beginners,"425,311","25,319",https://www.udemy.com/user/linguae/,['https://www.lingomelo.com/']
M. Samir,Udemy Instructor,"403,489","7,614",https://www.udemy.com/user/53fba654-dc31-4b65-9c9e-df20c45e5710/,"['https://msamir.me', 'https://linkedin.com/in/m-samir-me/']"
Coursetake Interview Preparation,Company and Job Title Specific Interview Preparation,"9,486","2,702",https://www.udemy.com/user/coursetake/,"['http://coursetake.com', 'https://twitter.com/coursetake', 'https://www.facebook.com/coursetake', 'https://linkedin.com/company/coursetake']"
Miguel Hernandez,No-Code Developer & Teacher,"41,011","5,077",https://www.udemy.com/user/miguelhernandez/,"['http://grumomedia.com', 'https://twitter.com/grumomedia', 'https://www.facebook.com/grumomedia', 'https://linkedin.com/in/miguelvancouver', 'https://www.youtube.com/grumomedia']"
Legacy Learning Systems,Bringing Dreams Within Reach,"17,320","2,542",https://www.udemy.com/user/gibsonslearnmaster/,"['http://www.learnandmaster.com', 'https://twitter.com/GibsonsLMGuitar', 'https://www.facebook.com/GibsonsLearnandMasterGuitar', 'https://www.youtube.com/user/LearnandMaster']"
Felicity Corp.,Japanese Instructor,"38,511","2,241",https://www.udemy.com/user/lan-xincheng/,[]
Charles Cornelius,English language specialist and ex-IELTS Examiner,"96,400","17,324",https://www.udemy.com/user/charles-cornelius/,"['http://ieltscharlie.com', 'https://twitter.com/IELTScharlie', 'https://www.facebook.com/ieltscharlie/', 'https://www.youtube.com/IELTSCharlie']"
Ashwin Gore,American Accent Coach,"10,193","2,465",https://www.udemy.com/user/ashwin-gore/,"['http://www.lightscameraaccent.com', 'https://twitter.com/ashwingore', 'https://www.facebook.com/officalashwingore', 'https://www.youtube.com/lightscameraaccent']"
Pierre-Antoine Ullmo,Publisher and co-founder of EXPeditions,"5,284","2,190",https://www.udemy.com/user/pierre-antoine-ullmo-2/,"['https://joinexpeditions.com', 'https://twitter.com/ullmo', 'https://linkedin.com/pierre-antoine-ullmo']"
Mike X Cohen,Educator and writer,"260,134","48,104",https://www.udemy.com/user/mike-x-cohen/,"['http://sincxpress.com', 'https://www.youtube.com/channel/UCUR_LsXk7IYyueSnXcNextQ']"
Dr. Kiran Derle,"PhD, MBA","18,932","3,883",https://www.udemy.com/user/kiran-derle/,['https://www.targetcampus.com']
"Elmira Strange, MPhil, Dip","Motivational Psychologist, 120,000+ students","124,022","38,933",https://www.udemy.com/user/elmira-strange/,"['https://www.elmirastrange.com/', 'https://twitter.com/elmira_strange', 'https://www.facebook.com/ElmiraStrangeEntrepreneur/', 'https://linkedin.com/elmirastrange', 'https://www.youtube.com/c/ElmiraStrange']"
Jackson Kailath,"Teacher, Engineer, Product Manager, Entrepreneur","127,090","6,381",https://www.udemy.com/user/jackson-kailath/,"['https://linkedin.com/in/jackson-kailath-ba268117/', 'https://www.youtube.com/@jackson_kailath']"
"Margit Averdijk, Ph.D.",Criminologist,"34,413","3,924",https://www.udemy.com/user/margit-a/,"['http://criminologyweb.com/', 'https://www.facebook.com/criminologyweb', 'https://www.youtube.com/channel/UCY8HnjAb_RYmQNGJPn0bPwg']"
Daniel Lin,Life Mentor,"17,020","3,967",https://www.udemy.com/user/the-pac/,['https://www.facebook.com/InstructorLin']
Yelena Zhivkovich,Instructor,"18,904","2,278",https://www.udemy.com/user/yelena-zhivkovich/,"['https://completerussianlanguagecourse.com/', 'https://www.facebook.com/The-Complete-Russian-Language-Course-110936570321995/', 'https://www.youtube.com/channel/UC2VrCidMeyL22kC_zoKJtCg']"
Minerva Singh,Bestselling Instructor & Data Scientist(Cambridge Uni),"120,607","21,647",https://www.udemy.com/user/minervasingh/,"['http://www.thetraveltalkies.com/', 'https://twitter.com/Minerva_DataLab', 'https://www.facebook.com/MinervaDataLab', 'https://linkedin.com/in/minerva-singh-8134a790/', 'https://www.youtube.com/channel/UCV6tUfriDq3ZrXuYODkFywg']"
Oliver Burdekin,GIS instructor and consultant,"5,928","2,031",https://www.udemy.com/user/oliverburdekin/,"['https://www.burdgis.com', 'https://twitter.com/burdgis', 'https://www.facebook.com/burdgis/', 'https://linkedin.com/in/burdgis', 'https://www.youtube.com/burdgis']"
Benoit KUHLER,Teacher of French,"16,561","3,485",https://www.udemy.com/user/benoit-kuhler-2/,['https://www.youtube.com//channel/UCVQiHtCmw-mbTbV9xIFbHCw?view_as=subscriber']
Guy B.M,"Hebrew Teacher, Israel","40,008","3,633",https://www.udemy.com/user/guybenmoshe/,"['https://www.hebrew-for-beginners.com/', 'https://twitter.com/HebrewBeginners', 'https://www.facebook.com/HebrewForBeginners', 'https://www.youtube.com/channel/UCGrVXYn0GsLQX0-31WXk78w']"
Thor Melicher,Sr. Instructional Designer,"7,870","2,313",https://www.udemy.com/user/thor-melicher-2/,[]
"Brian Jackson, Writing, Self-publishing and Marketing an Amazon Kindle eBook and Book with Microsoft Word, PowerPoint and KDP","Author, Publisher and Educator","158,533","8,315",https://www.udemy.com/user/brianjackson13/,"['https://www.authorblogandreviews.com/', 'https://twitter.com/brianjjaxn', 'https://www.facebook.com/brianjjaxn', 'https://linkedin.com/in/authorbrianjackson', 'https://www.youtube.com/channel/UC5D46MDNfqdDDS7KwaiLmAA']"
John Hinchliffe,Multi-award winning online learning creator,"10,012","2,008",https://www.udemy.com/user/john-hinchliffe/,"['http://www.yourskillshub.com', 'https://linkedin.com/in/john-hinchliffe-yourskillshub/']"
Juliane Klingenberg Nery,"Founder & tutor at ""German to go""","9,421","2,943",https://www.udemy.com/user/julianeklingenbergnery/,"['http://www.germantogo.com', 'https://www.facebook.com/germantogo', 'https://linkedin.com/in/juliane-klingenberg-nery-47295a39', 'https://www.youtube.com/gtggermantogo']"
Stephen Brooks,Chartered Electrical Engineer,"15,788","6,844",https://www.udemy.com/user/stephen-brooks-3/,[]
Gabriel Wallace,Creator of 'Learning English Path' / Identity Coach,"56,440","5,375",https://www.udemy.com/user/gabriel-wallace-3/,"['https://www.gabrielseanwallace.com', 'https://twitter.com/GabrielSWallace', 'https://www.facebook.com/LearningEnglishPath', 'https://linkedin.com/in/gabriel-wallace-99aa99bb/', 'https://www.youtube.com/channel/UCequgzTP6OLy3tkXMIppSOw?sub_confirmation=1']"
Felix Harder,Health & Fitness Coach | Best Selling Instructor,"219,670","45,747",https://www.udemy.com/user/felix-harder/,"['https://nutritionandfitness.net', 'https://www.facebook.com/groups/1144573178965883/', 'https://www.youtube.com/channel/UCIjuQ2TctuVARcZGnrr9tTA']"
Vyara Georgieva,ESL Teacher; Technical Trainer,"27,893","3,246",https://www.udemy.com/user/vyarag/,['https://linkedin.com/in/vyara-georgieva-6336314a?trk=hp-identity-photo']
Gene L. Warner,Electronics Engineer/Designer - Warner Instruments,"10,055","1,855",https://www.udemy.com/user/gene-l-warner/,"['http://www.boysmindbooks.com', 'https://linkedin.com/https://www.linkedin.com/in/gene-warner-33a52485/']"
"S.J. Lawrence, PhD",Writing Professor,"9,341","1,945",https://www.udemy.com/user/sheldonlawrence/,[]
Chris Haroun | 1.4 Million Students | #1 Best Selling Business & Finance Prof.,"Finance, Business, AI, Excel and Public Speaking Courses","1,435,843","235,273",https://www.udemy.com/user/chris-haroun/,"['https://harounventures.com', 'https://linkedin.com/in/charoun', 'https://www.youtube.com/ChrisHarounVenturesCompleteBusinessEducation?sub_confirmation=1']"
Jason Teteak,"Author, YouTuber, Keynote & TEDx Speaker, CEO Rule the Room","112,455","37,538",https://www.udemy.com/user/jasonteteak/,"['http://www.RuleTheRoom.com', 'https://twitter.com/ruletheroom', 'https://www.facebook.com/RTRPublicSpeaking', 'https://linkedin.com/in/jasonteteak/', 'https://www.youtube.com/channel/UCSkn1qgZCvy8GA165KwanrQ']"
